Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation
2018/7/1,94,76,85,11.8,0,20,0.24
2018/7/2,85,69,77,3.7,0,12,0
2018/7/3,89,63,76,2.5,0,11,0
2018/7/4,93,76,84.5,10.9,0,20,0.01
2018/7/5,92,74,83,9.3,0,18,0.02
2018/7/6,75,64,69.5,-4.3,0,5,0
2018/7/7,82,59,70.5,-3.4,0,6,0
2018/7/8,88,63,75.5,1.5,0,11,0
2018/7/9,91,67,79,4.9,0,14,0
2018/7/10,87,71,79,4.8,0,14,0
2018/7/11,87,67,77,2.8,0,12,0
2018/7/12,87,70,78.5,4.2,0,14,0
2018/7/13,95,72,83.5,9.2,0,19,0
2018/7/14,82,72,77,2.7,0,12,0.26
2018/7/15,91,72,81.5,7.2,0,17,0.11
2018/7/16,93,72,82.5,8.2,0,18,0.08
2018/7/17,81,68,74.5,0.2,0,10,0
2018/7/18,80,63,71.5,-2.8,0,7,0
2018/7/19,87,67,77,2.7,0,12,0.03
2018/7/20,78,70,74,-0.2,0,9,0.15
2018/7/21,79,69,74,-0.2,0,9,0.12
2018/7/22,76,67,71.5,-2.7,0,7,0.13
2018/7/23,82,65,73.5,-0.6,0,9,0
2018/7/24,88,66,77,2.9,0,12,0
2018/7/25,90,67,78.5,4.5,0,14,0
2018/7/26,81,66,73.5,-0.5,0,9,0.03
2018/7/27,79,62,70.5,-3.4,0,6,0
2018/7/28,82,61,71.5,-2.4,0,7,0
2018/7/29,83,62,72.5,-1.3,0,8,0.07
2018/7/30,82,62,72,-1.8,0,7,0
2018/7/31,80,66,73,-0.7,0,8,0
2018/8/1,85,63,74,0.3,0,9,0.17
2018/8/2,85,70,77.5,3.9,0,13,0
2018/8/3,89,67,78,4.5,0,13,0
2018/8/4,97,71,84,10.5,0,19,0
2018/8/5,94,75,84.5,11.1,0,20,0.16
2018/8/6,81,69,75,1.6,0,10,0.34
2018/8/7,83,69,76,2.7,0,11,2.36
2018/8/8,85,69,77,3.8,0,12,0
2018/8/9,89,69,79,5.8,0,14,0.43
2018/8/10,83,70,76.5,3.4,0,12,0
2018/8/11,88,68,78,5,0,13,0
2018/8/12,87,70,78.5,5.5,0,14,0
2018/8/13,89,66,77.5,4.6,0,13,0
2018/8/14,87,71,79,6.2,0,14,0
2018/8/15,85,73,79,6.3,0,14,0.01
2018/8/16,86,69,77.5,4.8,0,13,0.5
2018/8/17,85,68,76.5,3.9,0,12,0.11
2018/8/18,80,70,75,2.5,0,10,0
2018/8/19,86,68,77,4.7,0,12,0
2018/8/20,79,69,74,1.8,0,9,0.82
2018/8/21,78,66,72,-0.1,0,7,0.13
2018/8/22,79,58,68.5,-3.5,0,4,0
2018/8/23,80,60,70,-1.8,0,5,0
2018/8/24,72,63,67.5,-4.2,0,3,0.04
2018/8/25,86,66,76,4.5,0,11,0.06
2018/8/26,93,72,82.5,11.2,0,18,0.15
2018/8/27,93,78,85.5,14.4,0,21,0
2018/8/28,91,67,79,8.1,0,14,1.39
2018/8/29,76,65,70.5,-0.2,0,6,0.42
2018/8/30,73,61,67,-3.5,0,2,0
2018/8/31,85,60,72.5,2.3,0,8,0.14
2018/9/1,86,72,79,9,0,14,0.16
2018/9/2,91,70,80.5,10.8,0,16,0.02
2018/9/3,88,70,79,9.6,0,14,1.79
2018/9/4,92,71,81.5,12.4,0,17,0
2018/9/5,91,69,80,11.2,0,15,0.24
2018/9/6,69,64,66.5,-1.9,0,2,0.53
2018/9/7,69,63,66,-2.1,0,1,0.3
